time,cyklisté,chodci
Lidická B,,z centra,do centra
2020-06-12 08:00,197,497,9157,460
2020-06-12 09:00,197,497,9179,460
2020-06-12 10:00,197,497,9202,460
2020-06-12 11:00,197,497,9228,460
2020-06-12 12:00,197,497,9253,460
2020-06-12 13:00,197,497,9276,460
2020-06-12 14:00,197,497,9336,460
2020-06-12 15:00,197,497,9373,460
2020-06-12 16:00,197,497,9416,460
2020-06-12 17:00,197,497,9472,460
2020-06-12 18:00,197,497,9527,460
2020-06-12 19:00,197,497,9576,460
2020-06-12 20:00,197,497,9609,460
2020-06-12 21:00,197,497,9657,460
2020-06-12 22:00,197,497,9682,460
2020-06-12 23:00,197,497,9698,460
2020-06-13 00:00,197,497,9715,460
2020-06-13 01:00,197,497,9732,460
2020-06-13 02:00,197,497,9743,460
2020-06-13 03:00,197,497,9748,460
2020-06-13 04:00,197,497,9752,460
2020-06-13 05:00,197,497,9756,460
2020-06-13 06:00,197,497,9757,460
2020-06-13 07:00,197,497,9759,460
2020-06-13 08:00,197,497,9775,460
2020-06-13 09:00,197,497,9783,460
2020-06-13 10:00,197,497,9797,460
2020-06-13 11:00,197,497,9823,460
2020-06-13 12:00,197,497,9856,460
2020-06-13 13:00,197,497,9881,460
2020-06-13 14:00,197,497,9908,460
2020-06-13 15:00,197,497,9928,460
2020-06-13 16:00,197,497,9952,460
2020-06-13 17:00,197,497,9975,460
2020-06-13 18:00,197,497,9995,460
2020-06-13 19:00,197,497,10018,460
2020-06-13 20:00,197,497,10046,460
2020-06-13 21:00,197,497,10057,460
2020-06-13 22:00,197,497,10067,460
2020-06-13 23:00,197,497,10076,460
2020-06-14 00:00,197,497,10080,460
2020-06-14 01:00,197,497,10085,460
2020-06-14 02:00,197,497,10086,460
2020-06-14 03:00,197,497,10098,460
2020-06-14 04:00,197,497,10098,460
2020-06-14 05:00,197,497,10098,460
2020-06-14 06:00,197,497,10105,460
2020-06-14 07:00,197,497,10106,460
2020-06-14 08:00,197,497,10112,460
2020-06-14 09:00,197,497,10113,460
2020-06-14 10:00,197,497,10118,460
2020-06-14 11:00,197,497,10132,460
2020-06-14 12:00,197,497,10147,460
2020-06-14 13:00,197,497,10163,460
2020-06-14 14:00,197,497,10179,460
2020-06-14 15:00,197,497,10196,460
2020-06-14 16:00,197,497,10211,460
2020-06-14 17:00,197,497,10216,460
2020-06-14 18:00,197,497,10227,460
2020-06-14 19:00,197,497,10250,460
2020-06-14 20:00,197,497,10268,460
2020-06-14 21:00,197,497,10290,460
2020-06-14 22:00,197,497,10313,460
2020-06-14 23:00,197,497,10343,460
2020-06-15 00:00,197,497,10344,460
2020-06-15 01:00,197,497,10348,460
2020-06-15 02:00,197,497,10350,460
2020-06-15 03:00,197,497,10352,460
2020-06-15 04:00,197,497,10352,460
2020-06-15 05:00,197,497,10352,460
2020-06-15 06:00,197,497,10352,460
2020-06-15 07:00,197,497,10358,460
2020-06-15 08:00,197,497,10375,460
2020-06-15 09:00,197,497,10403,460
2020-06-15 10:00,197,497,10424,460
2020-06-15 11:00,197,497,10449,460
2020-06-15 12:00,197,497,10467,460
2020-06-15 13:00,197,497,10509,460
2020-06-15 14:00,197,497,10547,460
2020-06-15 15:00,197,497,10585,460
2020-06-15 16:00,197,497,10615,460
2020-06-15 17:00,197,497,10615,460
2020-06-15 18:00,197,497,10691,460
2020-06-15 19:00,197,497,10760,460
2020-06-15 20:00,197,497,10814,460
2020-06-15 21:00,197,497,10852,460
2020-06-15 22:00,197,497,10887,460
2020-06-15 23:00,197,497,10908,460
2020-06-16 00:00,197,497,10913,460
2020-06-16 01:00,197,497,10921,460
2020-06-16 02:00,197,497,10928,460
2020-06-16 03:00,197,497,10930,460
2020-06-16 04:00,197,497,10932,460
2020-06-16 05:00,197,497,10932,460
2020-06-16 06:00,197,497,10934,460
2020-06-16 07:00,197,497,10947,460
2020-06-16 08:00,197,497,10984,460
2020-06-16 10:00,197,497,11055,460
2020-06-16 11:00,197,497,11086,460
2020-06-16 12:00,197,497,11114,460
2020-06-16 13:00,197,497,11143,460
2020-06-16 14:00,197,497,11177,460
2020-06-16 15:00,197,497,11213,460
2020-06-16 16:00,197,497,11264,460
2020-06-16 17:00,197,497,11329,460
2020-06-16 18:00,197,497,11410,460
2020-06-16 19:00,197,497,11494,460
2020-06-16 20:00,197,497,11566,460
2020-06-16 21:00,197,497,11615,460
2020-06-16 22:00,197,497,11651,460
2020-06-16 23:00,197,497,11678,460
2020-06-17 00:00,197,497,11693,460
2020-06-17 01:00,197,497,11703,460
2020-06-17 02:00,197,497,11709,460
2020-06-17 03:00,197,497,11713,460
2020-06-17 04:00,197,497,11715,460
2020-06-17 05:00,197,497,11715,460
2020-06-17 06:00,197,497,11716,460
2020-06-17 07:00,197,497,11727,460
2020-06-17 08:00,197,497,11759,460
2020-06-17 09:00,197,497,11784,460
2020-06-17 10:00,197,497,11807,460
2020-06-17 11:00,197,497,11832,460
2020-06-17 12:00,197,497,11852,460
2020-06-17 13:00,197,497,11894,460
2020-06-17 14:00,197,497,11922,460
