time,cyklisté,chodci
Lidická A,,do centra,z centra
2020-06-10 04:00,4855,12634,16775,10700
2020-06-10 05:00,4855,12634,16779,10700
2020-06-10 06:00,4855,12634,16783,10700
2020-06-10 07:00,4855,12634,16793,10700
2020-06-10 08:00,4855,12634,16810,10700
2020-06-10 10:00,4855,12634,16856,10700
2020-06-10 11:00,4855,12634,16888,10700
2020-06-10 12:00,4855,12634,16911,10700
2020-06-10 13:00,4855,12634,16925,10700
2020-06-10 14:00,4855,12634,16935,10700
2020-06-10 15:00,4855,12634,16946,10700
2020-06-10 16:00,4855,12634,16953,10700
2020-06-10 17:00,4855,12634,16965,10700
2020-06-10 18:00,4855,12634,16992,10700
2020-06-10 19:00,4855,12634,17012,10700
2020-06-10 20:00,4855,12634,17040,10700
2020-06-10 21:00,4855,12634,17055,10700
2020-06-10 22:00,4855,12634,17059,10700
2020-06-10 23:00,4855,12634,17064,10700
2020-06-11 00:00,4855,12634,17067,10700
2020-06-11 01:00,4855,12634,17072,10700
2020-06-11 03:00,4855,12634,17077,10700
2020-06-11 04:00,4855,12634,17077,10700
2020-06-11 06:00,4855,12634,17081,10700
2020-06-11 07:00,4855,12634,17094,10700
2020-06-11 08:00,4855,12634,17127,10700
2020-06-11 09:00,4855,12634,17188,10700
2020-06-11 10:00,4855,12634,17221,10700
2020-06-11 11:00,4855,12634,17258,10700
2020-06-11 12:00,4855,12634,17287,10700
2020-06-11 13:00,4855,12634,17320,10700
2020-06-11 14:00,4855,12634,17354,10700
2020-06-11 15:00,4855,12634,17392,10700
2020-06-11 16:00,4855,12634,17433,10700
2020-06-11 17:00,4855,12634,17486,10700
2020-06-11 18:00,4855,12634,17540,10700
2020-06-11 19:00,4855,12634,17595,10700
2020-06-11 20:00,4855,12634,17624,10700
2020-06-11 21:00,4855,12634,17654,10700
2020-06-11 22:00,4855,12634,17680,10700
2020-06-11 23:00,4855,12634,17697,10700
2020-06-12 00:00,4855,12634,17717,10700
2020-06-12 01:00,4855,12634,17721,10700
2020-06-12 02:00,4855,12634,17726,10700
2020-06-12 03:00,4855,12634,17732,10700
2020-06-12 04:00,4855,12634,17738,10700
2020-06-12 05:00,4855,12634,17740,10700
2020-06-12 06:00,4855,12634,17744,10700
2020-06-12 07:00,4855,12634,17761,10700
2020-06-12 08:00,4855,12634,17799,10700
2020-06-12 09:00,4855,12634,17844,10700
2020-06-12 10:00,4855,12634,17902,10700
2020-06-12 11:00,4855,12634,17944,10700
2020-06-12 12:00,4855,12634,17969,10700
2020-06-12 13:00,4855,12634,17997,10700
2020-06-12 14:00,4855,12634,18037,10700
2020-06-12 15:00,4855,12634,18067,10700
2020-06-12 16:00,4855,12634,18106,10700
2020-06-12 17:00,4855,12634,18143,10700
2020-06-12 18:00,4855,12634,18200,10700
2020-06-12 19:00,4855,12634,18231,10700
2020-06-12 20:00,4855,12634,18262,10700
2020-06-12 21:00,4855,12634,18295,10700
2020-06-12 22:00,4855,12634,18318,10700
2020-06-12 23:00,4855,12634,18332,10700
2020-06-13 00:00,4855,12634,18342,10700
2020-06-13 01:00,4855,12634,18348,10700
2020-06-13 02:00,4855,12634,18351,10700
2020-06-13 03:00,4855,12634,18358,10700
2020-06-13 04:00,4855,12634,18360,10700
2020-06-13 05:00,4855,12634,18361,10700
2020-06-13 06:00,4855,12634,18363,10700
2020-06-13 07:00,4855,12634,18370,10700
2020-06-13 08:00,4855,12634,18381,10700
2020-06-13 09:00,4855,12634,18396,10700
2020-06-13 10:00,4855,12634,18419,10700
2020-06-13 11:00,4855,12634,18448,10700
2020-06-13 12:00,4855,12634,18488,10700
2020-06-13 13:00,4855,12634,18521,10700
2020-06-13 14:00,4855,12634,18553,10700
2020-06-13 15:00,4855,12634,18572,10700
2020-06-13 16:00,4855,12634,18596,10700
2020-06-13 17:00,4855,12634,18612,10700
2020-06-13 18:00,4855,12634,18637,10700
2020-06-13 19:00,4855,12634,18661,10700
2020-06-13 20:00,4855,12634,18676,10700
2020-06-13 21:00,4855,12634,18680,10700
2020-06-13 22:00,4855,12634,18687,10700
2020-06-13 23:00,4855,12634,18694,10700
2020-06-14 00:00,4855,12634,18697,10700
2020-06-14 01:00,4855,12634,18702,10700
2020-06-14 02:00,4855,12634,18707,10700
2020-06-14 03:00,4855,12634,18707,10700
2020-06-14 04:00,4855,12634,18708,10700
2020-06-14 05:00,4855,12634,18709,10700
