time,cyklisté,chodci
Kounicova B,,do centra,z centra
2020-06-06 19:00,5827,8774,8923,8027
2020-06-06 20:00,5827,8774,8932,8027
2020-06-06 21:00,5827,8774,8948,8027
2020-06-06 22:00,5827,8774,8948,8027
2020-06-06 23:00,5827,8774,8954,8027
2020-06-07 00:00,5827,8774,8957,8027
2020-06-07 01:00,5827,8774,8958,8027
2020-06-07 02:00,5827,8774,8962,8027
2020-06-07 03:00,5827,8774,8963,8027
2020-06-07 11:00,5827,8774,8985,8027
2020-06-07 12:00,5827,8774,8989,8027
2020-06-07 13:00,5827,8774,8999,8027
2020-06-07 14:00,5827,8774,9009,8027
2020-06-07 15:00,5827,8774,9021,8027
2020-06-07 16:00,5827,8774,9031,8027
2020-06-07 17:00,5827,8774,9038,8027
2020-06-07 18:00,5827,8774,9047,8027
2020-06-07 19:00,5827,8774,9056,8027
2020-06-07 20:00,5827,8774,9062,8027
2020-06-07 21:00,5827,8774,9067,8027
2020-06-07 22:00,5827,8774,9071,8027
2020-06-07 23:00,5827,8774,9074,8027
2020-06-08 00:00,5827,8774,9078,8027
2020-06-08 01:00,5827,8774,9081,8027
2020-06-08 02:00,5827,8774,9081,8027
2020-06-08 03:00,5827,8774,9082,8027
2020-06-08 04:00,5827,8774,9082,8027
2020-06-08 05:00,5827,8774,9082,8027
2020-06-08 06:00,5827,8774,9083,8027
2020-06-08 07:00,5827,8774,9093,8027
2020-06-08 08:00,5827,8774,9103,8027
2020-06-08 09:00,5827,8774,9130,8027
2020-06-08 10:00,5827,8774,9168,8027
2020-06-08 11:00,5827,8774,9185,8027
2020-06-08 12:00,5827,8774,9196,8027
2020-06-08 13:00,5827,8774,9219,8027
2020-06-08 14:00,5827,8774,9237,8027
2020-06-08 15:00,5827,8774,9250,8027
2020-06-08 16:00,5827,8774,9261,8027
2020-06-08 17:00,5827,8774,9286,8027
2020-06-08 18:00,5827,8774,9311,8027
2020-06-08 19:00,5827,8774,9336,8027
2020-06-08 20:00,5827,8774,9363,8027
2020-06-08 21:00,5827,8774,9373,8027
2020-06-08 22:00,5827,8774,9380,8027
2020-06-08 23:00,5827,8774,9387,8027
2020-06-09 00:00,5827,8774,9392,8027
2020-06-09 01:00,5827,8774,9393,8027
2020-06-09 02:00,5827,8774,9393,8027
2020-06-09 03:00,5827,8774,9393,8027
2020-06-09 04:00,5827,8774,9394,8027
2020-06-09 05:00,5827,8774,9394,8027
2020-06-09 06:00,5827,8774,9394,8027
2020-06-09 07:00,5827,8774,9405,8027
2020-06-09 08:00,5827,8774,9421,8027
2020-06-09 09:00,5827,8774,9448,8027
2020-06-09 10:00,5827,8774,9486,8027
2020-06-09 11:00,5827,8774,9502,8027
2020-06-09 12:00,5827,8774,9523,8027
2020-06-09 13:00,5827,8774,9545,8027
2020-06-09 14:00,5827,8774,9569,8027
2020-06-09 15:00,5827,8774,9585,8027
2020-06-09 16:00,5827,8774,9614,8027
2020-06-09 17:00,5827,8774,9645,8027
2020-06-09 18:00,5827,8774,9678,8027
2020-06-09 19:00,5827,8774,9709,8027
2020-06-09 20:00,5827,8774,9733,8027
2020-06-09 21:00,5827,8774,9752,8027
2020-06-09 22:00,5827,8774,9769,8027
2020-06-09 23:00,5827,8774,9773,8027
2020-06-10 00:00,5827,8774,9775,8027
2020-06-10 01:00,5827,8774,9775,8027
2020-06-10 02:00,5827,8774,9778,8027
2020-06-10 03:00,5827,8774,9778,8027
2020-06-10 04:00,5827,8774,9778,8027
2020-06-10 05:00,5827,8774,9778,8027
2020-06-10 06:00,5827,8774,9779,8027
2020-06-10 07:00,5827,8774,9787,8027
2020-06-10 08:00,5827,8774,9791,8027
2020-06-10 10:00,5827,8774,9847,8027
2020-06-10 11:00,5827,8774,9868,8027
2020-06-10 12:00,5827,8774,9878,8027
2020-06-10 13:00,5827,8774,9887,8027
2020-06-10 14:00,5827,8774,9896,8027
2020-06-10 15:00,5827,8774,9899,8027
2020-06-10 16:00,5827,8774,9905,8027
2020-06-10 17:00,5827,8774,9916,8027
2020-06-10 18:00,5827,8774,9932,8027
2020-06-10 19:00,5827,8774,9946,8027
2020-06-10 20:00,5827,8774,9959,8027
2020-06-10 21:00,5827,8774,9973,8027
2020-06-10 22:00,5827,8774,9979,8027
2020-06-10 23:00,5827,8774,9979,8027
2020-06-11 00:00,5827,8774,9981,8027
